Protein.IDs,LFQ.intensity.01.51.48.N,LFQ.intensity.02.2870.17.T,LFQ.intensity.03.613.19.T,LFQ.intensity.04.91.19.N,LFQ.intensity.05.1200.18.N,LFQ.intensity.06.34.20.T,LFQ.intensity.07.306.19.T,LFQ.intensity.08.2283.18.T,LFQ.intensity.10.885.17.T,LFQ.intensity.11.51.18.T,LFQ.intensity.12.1315.18.T,LFQ.intensity.13.1219.17.T,LFQ.intensity.14.1301.19.N,LFQ.intensity.15.1219.17.N,LFQ.intensity.16.2286.19.T,LFQ.intensity.17.2097.17.T,LFQ.intensity.18.1301.19.T,LFQ.intensity.19.2870.17.N,LFQ.intensity.20.2097.17.N,LFQ.intensity.21.613.19.N,LFQ.intensity.22.1200.18.T,LFQ.intensity.23.1512.18.T,LFQ.intensity.24.885.17.N,LFQ.intensity.25.2286.19.N,LFQ.intensity.26.91.19.T,LFQ.intensity.27.1315.18.N,LFQ.intensity.28.2283.18.N
sp|Q01581|HMCS1_HUMAN,NA,778600,1284300,NA,NA,NA,NA,NA,NA,NA,549900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q01813|PFKAP_HUMAN;sp|Q01813-2|PFKAP_HUMAN,2070600,2624000,4409400,827660,1701800,2181800,11763000,2768400,3447000,2386400,4471000,6198100,1731400,1026400,358270,4655400,13643000,1399400,1231800,1309100,8382300,2461100,548090,2347300,3552900,1078100,765570
sp|Q01844-2|EWS_HUMAN;sp|Q01844-6|EWS_HUMAN;sp|Q01844-3|EWS_HUMAN;sp|Q01844|EWS_HUMAN;sp|Q01844-5|EWS_HUMAN,2523000,1597500,1260000,1856600,1552400,2740600,1092600,2717100,2610300,1955800,NA,950620,2339200,1308600,2326600,1267600,3089800,2110500,1496500,1535800,1616900,2808900,1843900,2180100,2862200,1912000,2687900
sp|Q01970-2|PLCB3_HUMAN;sp|Q01970|PLCB3_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q01995|TAGL_HUMAN,53696000,9142500,14313000,91286000,22692000,19993000,15721000,60367000,61748000,44810000,68702000,22361000,34955000,33124000,13202000,13308000,10122000,29155000,25819000,32482000,32730000,22705000,66620000,44117000,37674000,48652000,15284000
sp|Q02083|NAAA_HUMAN;sp|Q02083-2|NAAA_HUMAN;sp|Q02083-3|NAAA_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q02218|ODO1_HUMAN;sp|Q02218-2|ODO1_HUMAN;sp|Q02218-3|ODO1_HUMAN,3748300,3132300,2263900,3000100,3688400,4029200,1846200,2342800,2724100,5167000,3099000,3541200,3583300,3479700,2436100,2828900,3546000,5118600,4864400,5837300,4234900,2095200,3128700,3004700,2413500,3056900,3199200
sp|Q02252-2|MMSA_HUMAN;sp|Q02252|MMSA_HUMAN,4862100,2088600,2806000,3263000,4997800,3434700,4498200,3713200,2933400,11375000,3494100,4236400,1813500,5542700,8519100,5061400,1431300,11702000,5747100,7351500,6269900,3018900,4327200,5074500,2514300,5533800,5286200
sp|Q02318|CP27A_HUMAN,1811800,1389800,NA,NA,3772400,NA,NA,NA,845270,NA,1754200,NA,NA,2312500,NA,1017200,NA,9108300,6959100,4019300,951860,NA,NA,1974700,NA,1658600,2458000
sp|Q02338|BDH_HUMAN,NA,1028700,NA,NA,NA,NA,1969600,NA,NA,2900300,894710,1225500,NA,NA,622230,NA,732850,884790,NA,NA,1409200,NA,NA,696250,NA,NA,NA
sp|Q02388-2|CO7A1_HUMAN;sp|Q02388|CO7A1_HUMAN,NA,NA,NA,17280000,23786000,NA,NA,6903400,11607000,16883000,13366000,9669800,20219000,22440000,8325700,3734500,8035400,22852000,21329000,14307000,3016200,10636000,29797000,NA,NA,16883000,13127000
sp|Q02487-2|DSC2_HUMAN;sp|Q02487|DSC2_HUMAN,NA,NA,3072600,NA,NA,NA,11482000,5148300,4826300,5419600,NA,8772600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q02543|RL18A_HUMAN,23362000,33832000,30652000,14926000,25000000,16033000,33900000,19600000,27112000,30037000,24357000,35767000,15436000,26096000,39129000,52946000,27045000,22042000,21881000,20259000,23712000,26966000,22038000,25680000,38256000,21223000,21361000
sp|Q02790|FKBP4_HUMAN,1261300,3099200,2116900,741830,NA,2764200,2624200,2224100,1120100,2793900,1640400,1157300,NA,NA,2626400,3707100,804360,NA,NA,NA,1524600,1896400,NA,1653700,2265700,737570,NA
sp|Q02809|PLOD1_HUMAN;sp|Q02809-2|PLOD1_HUMAN,NA,2663200,3455500,NA,3703100,2694400,1497100,4925000,2421900,4437600,7880500,5317300,NA,3979200,NA,2512300,3701100,3700100,3291700,4417700,5551400,2821500,NA,NA,3367100,NA,5568100
sp|Q02818|NUCB1_HUMAN,4959600,4162400,4552100,3410900,4163800,4527400,4938800,5883700,4601700,6478600,3585500,4841900,3091600,3803500,2098900,5195700,5572900,5682200,3530300,4874200,4759300,4034400,3540900,2614100,6042700,3645600,5200500
sp|Q02878|RL6_HUMAN,16980000,25507000,24513000,11280000,14437000,24514000,31420000,24200000,24807000,21558000,20284000,20778000,13804000,13485000,37374000,31135000,28413000,16529000,11935000,14222000,19072000,22209000,12835000,14624000,30035000,14815000,19264000
sp|Q02880-2|TOP2B_HUMAN;sp|Q02880|TOP2B_HUMAN,NA,1499100,617430,NA,560700,535000,492680,619200,590470,643660,533930,507010,NA,437840,1886700,1039300,580050,NA,NA,749240,NA,1502000,NA,640800,1143700,585150,NA
sp|Q02952-3|AKA12_HUMAN;sp|Q02952-2|AKA12_HUMAN;sp|Q02952|AKA12_HUMAN,6580800,NA,30954000,27333000,NA,NA,NA,6084000,5486400,23723000,4499100,16488000,16900000,NA,14033000,13431000,NA,6207300,11673000,20680000,NA,6446500,22834000,8440400,4711500,9900400,NA
sp|Q02978|M2OM_HUMAN;sp|Q02978-2|M2OM_HUMAN,1229000,2393100,783180,1032800,1142000,671730,1420800,NA,1954700,NA,1270500,1094200,1193000,1271600,876750,NA,NA,2469900,1510300,NA,1365600,NA,1172500,NA,924110,1625700,1137100
sp|Q03135|CAV1_HUMAN,13952000,3524700,8435400,34559000,20272000,2957700,820540,2171300,9519700,3674900,2502300,4237000,30376000,25218000,5367400,757240,3219300,21201000,23963000,22801000,1040800,8813500,42156000,26252000,2503100,37117000,18290000
sp|Q03135-2|CAV1_HUMAN,3972800,NA,2315500,8046500,5423500,NA,NA,1561800,NA,NA,NA,1712900,5099400,5662500,NA,NA,NA,3896100,5655400,3663700,NA,2472000,6204900,4090700,NA,4927400,NA
sp|Q03154-2|ACY1_HUMAN;sp|Q03154-4|ACY1_HUMAN;sp|Q03154|ACY1_HUMAN;sp|Q03154-3|ACY1_HUMAN,NA,NA,1543200,316980,NA,223200,611230,1152600,1441500,668220,322950,472200,464680,405140,9420000,471410,1936900,230600,NA,431710,433610,3161200,473370,1525500,1026800,224190,981020
sp|Q03169|TNAP2_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q03252|LMNB2_HUMAN,9976800,9654500,9453200,9967100,9710400,9843400,7552600,10122000,12824000,9945800,7545100,7278200,11260000,10802000,7671300,8766000,6787200,10758000,11850000,11514000,8899900,10140000,13973000,9864600,7438600,12376000,8389300
sp|Q03426|KIME_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q03518|TAP1_HUMAN;sp|Q03518-2|TAP1_HUMAN,5734300,9561800,3123700,NA,1292700,2806300,1756700,2275400,4866000,3926800,5345200,4372600,1501700,1657200,NA,NA,6510700,3389200,NA,NA,868530,2005200,4530200,NA,6216100,3494000,3525400
sp|Q03519-2|TAP2_HUMAN;sp|Q03519|TAP2_HUMAN,4256300,4633900,NA,NA,3631500,NA,1657100,1888000,4127800,4046900,7025500,3845200,NA,2654100,NA,NA,2210300,3331100,NA,NA,1949600,NA,NA,NA,NA,2344300,NA
sp|Q03701|CEBPZ_HUMAN,NA,1487500,1271100,NA,NA,NA,NA,NA,NA,NA,1295700,1230400,NA,NA,NA,NA,1566400,NA,NA,NA,NA,NA,NA,NA,1332900,NA,NA
sp|Q04206-2|TF65_HUMAN;sp|Q04206-3|TF65_HUMAN;sp|Q04206-4|TF65_HUMAN;sp|Q04206|TF65_HUMAN,NA,NA,2001100,NA,NA,NA,2156400,NA,NA,NA,1960800,NA,NA,NA,NA,1958100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q04323|UBXN1_HUMAN;sp|Q04323-2|UBXN1_HUMAN,1221700,1359900,2980600,1085100,875650,1217700,1416400,1648600,1551200,966420,754810,1094100,1117100,927900,NA,884590,1427900,1190400,664920,NA,689750,1095500,1003900,NA,NA,1278500,1115200
sp|Q04446|GLGB_HUMAN,1740800,1275800,1790000,1699300,2147400,1714900,1965700,2963200,2081300,1958700,3747700,2506000,1447600,1617400,973220,1403100,3294700,2448100,1680000,1879300,2498500,3409500,2032600,2298800,2062700,1930400,2232300
sp|Q04637-5|IF4G1_HUMAN;sp|Q04637-4|IF4G1_HUMAN;sp|Q04637-3|IF4G1_HUMAN;sp|Q04637|IF4G1_HUMAN;sp|Q04637-9|IF4G1_HUMAN;sp|Q04637-6|IF4G1_HUMAN,4482400,7656600,6342600,1759500,3754600,5609100,9893800,5940200,6780700,5890300,6621700,7604400,1864000,2071400,1204200,9900300,11190000,3554100,2726400,2215500,4697400,7740100,3140500,3348100,10589000,2242300,5279300
sp|Q04637-8|IF4G1_HUMAN;sp|Q04637-7|IF4G1_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q04760-2|LGUL_HUMAN;sp|Q04760|LGUL_HUMAN,3891500,5790700,3799800,3107000,3192600,4195500,7733900,4062300,3237300,9725700,5016600,4475800,2370700,4027100,4831600,5898600,2540600,3010300,3967400,3103000,5668100,5055500,3922800,4350400,4401500,4237400,2727700
sp|Q04828|AK1C1_HUMAN,1622100,NA,34454000,7670800,3594500,23333000,2279300,3257500,850650,488590,389260,55828000,2858100,3882000,74100000,NA,1533300,2009300,2744000,4768000,176290,788800,1467700,20691000,38607000,4134900,1980200
sp|Q04837|SSBP_HUMAN,5839900,8702800,3831300,NA,NA,7214400,8569300,7181900,NA,11946000,6366100,5775200,3396500,4039500,3257300,8628800,9263900,8210900,6201700,7412500,NA,3720900,NA,NA,NA,5542000,6576000
sp|Q04864-2|REL_HUMAN;sp|Q04864|REL_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,3400200,NA,12011000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q04917|1433F_HUMAN,14753000,14445000,17953000,10533000,12928000,18996000,13557000,23017000,17645000,8658600,17508000,11235000,16136000,13130000,13273000,6777800,17758000,12564000,12936000,9460800,16738000,13125000,15211000,13915000,17114000,11801000,14189000
sp|Q05209-2|PTN12_HUMAN;sp|Q05209-3|PTN12_HUMAN;sp|Q05209|PTN12_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q05397-7|FAK1_HUMAN;sp|Q05397|FAK1_HUMAN;sp|Q05397-5|FAK1_HUMAN;sp|Q05397-2|FAK1_HUMAN;sp|Q05397-6|FAK1_HUMAN;sp|Q05397-3|FAK1_HUMAN;sp|Q05397-4|FAK1_HUMAN,562690,542650,670260,NA,521090,NA,900470,575790,376030,817330,421080,786440,NA,NA,700030,1943500,336750,NA,NA,770340,NA,NA,710460,962820,NA,1073800,NA
sp|Q05519-2|SRS11_HUMAN;sp|Q05519|SRS11_HUMAN,1245200,2595900,1275100,745660,719460,1778100,1658000,1936100,1453500,2137400,1207500,1849400,697910,650710,596350,2008400,1537300,604110,526110,NA,865990,1582200,1040700,1150400,1933600,1026900,2046700
sp|Q05639|EF1A2_HUMAN,NA,3367600,NA,NA,NA,NA,3976600,NA,NA,NA,4934900,NA,NA,NA,NA,NA,NA,NA,NA,NA,4941900,NA,NA,NA,NA,NA,NA
sp|Q05655|KPCD_HUMAN;sp|Q05655-2|KPCD_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q05682|CALD1_HUMAN;sp|Q05682-6|CALD1_HUMAN;sp|Q05682-2|CALD1_HUMAN,13447000,3571800,6956400,27035000,10299000,9547800,2846800,20615000,15943000,13395000,19613000,6579900,19753000,8617000,1878700,2637000,8710100,9906600,7651300,8908900,9588600,11927000,17793000,9852400,12551000,12424000,7046800
sp|Q05682-5|CALD1_HUMAN,2129600,NA,NA,1973200,2088300,NA,NA,3012100,2077700,1630700,1986400,1498800,3833600,1501200,NA,NA,3619300,2398400,NA,1644100,NA,2822300,2480000,NA,2970300,1969500,NA
sp|Q05707|COEA1_HUMAN;sp|Q05707-2|COEA1_HUMAN;sp|Q05707-3|COEA1_HUMAN,11906000,2192300,7887100,22646000,14256000,9044300,1993400,11911000,14181000,7549000,4869200,3698500,11765000,9971000,6970000,2147900,2832100,12026000,13832000,17657000,3228400,4204100,9922600,9947000,7213600,9469200,8665600
sp|Q06124-1|PTN11_HUMAN;sp|Q06124-3|PTN11_HUMAN;sp|Q06124|PTN11_HUMAN,2375000,3012000,886330,1069800,1244500,1873000,3002000,1679400,2416100,1446400,1705600,2171100,1531100,1213100,1146500,1906000,2182900,1563800,1319000,1235300,1262700,1366700,1593800,1193900,1253600,958040,1318200
sp|Q06203|PUR1_HUMAN,NA,NA,NA,NA,NA,NA,850190,NA,NA,NA,NA,NA,NA,NA,785640,891110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q06210-2|GFPT1_HUMAN;sp|Q06210|GFPT1_HUMAN,2454900,3522900,3405500,1944700,1427800,4612400,8534400,3608500,3932200,5983400,3735600,4689300,821800,1605800,11466000,7773300,8483100,1711000,1545300,967520,9191000,5281500,1990900,3414300,5996900,850560,2328800
sp|Q06323-3|PSME1_HUMAN;sp|Q06323|PSME1_HUMAN;sp|Q06323-2|PSME1_HUMAN,3408000,17363000,4874200,1343600,3650800,5596500,2394500,6233700,5970500,4095100,9225000,6555800,2098600,4317300,3068200,4463600,5022000,3620100,3649200,2632700,6981200,5723800,3674400,4761100,5320600,5261900,3698300
sp|Q06787-8|FMR1_HUMAN;sp|Q06787-5|FMR1_HUMAN;sp|Q06787-9|FMR1_HUMAN;sp|Q06787-3|FMR1_HUMAN;sp|Q06787|FMR1_HUMAN;sp|Q06787-6|FMR1_HUMAN;sp|Q06787-2|FMR1_HUMAN;sp|Q06787-4|FMR1_HUMAN;sp|Q06787-7|FMR1_HUMAN;sp|Q06787-11|FMR1_HUMAN;sp|Q06787-10|FMR1_HUMAN,NA,2677000,NA,NA,NA,841090,1592900,930440,659650,NA,NA,890060,NA,712600,NA,954030,1579000,803510,NA,NA,NA,NA,NA,NA,1114200,NA,NA
sp|Q06828|FMOD_HUMAN,NA,NA,1461400,2466400,1249800,NA,NA,3412600,2291900,1415400,2984800,975840,3251000,NA,NA,1532000,1522100,NA,NA,NA,2795600,1286800,NA,NA,1764200,NA,NA
sp|Q06830|PRDX1_HUMAN,79822000,145030000,153350000,79543000,85463000,165050000,148020000,124830000,88860000,115220000,112550000,163870000,84864000,85125000,207290000,84972000,165120000,103170000,73388000,97546000,91986000,94642000,82611000,98483000,178850000,67598000,101700000
sp|Q07020|RL18_HUMAN;sp|Q07020-2|RL18_HUMAN,32010000,48392000,38817000,27964000,25383000,37674000,39692000,40584000,56843000,44104000,27215000,30111000,31701000,19036000,55318000,40513000,50332000,32448000,17594000,21269000,31641000,34143000,22495000,18379000,54818000,19915000,37906000
sp|Q07021|C1QBP_HUMAN,1714400,3074200,1522400,1218600,1358300,NA,2047400,1552800,1400800,1615500,NA,2901500,798900,1328800,3195500,2027700,1136800,2619900,1532600,2591900,3526100,1509400,1295200,2259600,1324600,1652500,1986300
sp|Q07065|CKAP4_HUMAN,12394000,15473000,19852000,10816000,10453000,20830000,23763000,21851000,14339000,17280000,22952000,25804000,13454000,6983000,11440000,20076000,21517000,10728000,9471500,12618000,22745000,15027000,8985200,7455900,18728000,8997300,13315000
sp|Q07075|AMPE_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,558230,NA,NA,NA,601850,722030,NA,651870,NA
sp|Q07092-2|COGA1_HUMAN;sp|Q07092|COGA1_HUMAN,1385600,NA,962490,2466500,3205400,NA,NA,NA,NA,NA,1570400,NA,4085200,2639200,NA,NA,NA,1410200,3695800,6764000,NA,NA,1529700,2265600,NA,7981900,NA
sp|Q07157|ZO1_HUMAN;sp|Q07157-2|ZO1_HUMAN,1820300,617610,2345700,2975400,2339400,1172500,1233300,1378700,2040800,2345900,1294900,1533400,2891800,2291200,2123500,1560000,1437300,3413300,2129900,2774000,1127100,3017800,5370800,3415400,1603000,3759300,2901200
sp|Q07507|DERM_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q07666|KHDR1_HUMAN;sp|Q07666-2|KHDR1_HUMAN;sp|Q07666-3|KHDR1_HUMAN,53734000,93884000,48472000,28987000,38081000,63609000,86523000,97598000,95286000,100640000,59640000,59216000,50077000,30155000,40758000,94852000,101120000,48429000,27989000,30508000,43676000,90363000,39459000,33013000,139190000,29366000,49310000
sp|Q07812-5|BAX_HUMAN;sp|Q07812-8|BAX_HUMAN;sp|Q07812|BAX_HUMAN;sp|Q07812-2|BAX_HUMAN;sp|Q07812-4|BAX_HUMAN;sp|Q07812-7|BAX_HUMAN;sp|Q07812-3|BAX_HUMAN;sp|Q07812-6|BAX_HUMAN,1280700,1609800,749030,NA,724400,755470,875120,1758100,1595700,1119700,1026800,898000,758410,925280,NA,777180,1589800,880690,995490,1007500,920870,1261500,692850,NA,1519700,832790,NA
sp|Q07817-2|B2CL1_HUMAN;sp|Q07817-3|B2CL1_HUMAN;sp|Q07817|B2CL1_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q07866-8|KLC1_HUMAN;sp|Q07866-2|KLC1_HUMAN;sp|Q07866-3|KLC1_HUMAN;sp|Q07866|KLC1_HUMAN;sp|Q07866-7|KLC1_HUMAN;sp|Q07866-5|KLC1_HUMAN;sp|Q07866-10|KLC1_HUMAN;sp|Q07866-6|KLC1_HUMAN;sp|Q07866-4|KLC1_HUMAN;sp|Q07866-9|KLC1_HUMAN,1353600,1063700,1552100,NA,NA,1114200,1183800,1123800,831000,968310,1549100,1420800,1193700,979330,NA,1102200,1125000,1030100,1040600,957020,821730,1154700,1349700,NA,996540,1094200,1286300
sp|Q07954|LRP1_HUMAN,2604700,1285300,1862000,3453800,3996600,1695200,1536000,2588200,1831600,2022100,3609300,2792200,3073200,3821100,2098700,1139400,980470,3154400,4653000,3053300,2453900,2525200,2431900,3276300,1863000,2876700,2799700
sp|Q07955|SRSF1_HUMAN;sp|Q07955-3|SRSF1_HUMAN;sp|Q07955-2|SRSF1_HUMAN,10547000,11083000,10088000,8128900,6962300,9792600,13312000,13145000,9236000,12668000,6464600,10840000,7829500,6275100,13815000,13199000,11904000,8747700,7660600,9542800,10971000,11411000,7405300,8198200,16473000,7651000,10878000
sp|Q07960|RHG01_HUMAN,2938800,2470300,4393300,2959800,3525200,4668500,2503100,3623200,3109900,3182200,4840700,3525500,1862700,3289300,3577900,3922800,2831600,3822800,2955600,3368200,4775700,4615100,3003300,3553300,2577900,3193600,2807300
sp|Q08170|SRSF4_HUMAN,1353400,3652400,3572200,NA,1289200,2288300,NA,8400200,1864600,2544900,NA,NA,3110900,NA,544580,NA,4151400,2118700,1579100,647210,2061900,4617400,4061800,2569900,11896000,2640500,6295800
sp|Q08209-2|PP2BA_HUMAN;sp|Q08209-3|PP2BA_HUMAN;sp|Q08209|PP2BA_HUMAN;sp|Q08209-5|PP2BA_HUMAN;sp|Q08209-4|PP2BA_HUMAN,1481900,1446200,2128500,2715000,1462000,1195100,989710,1489300,1987400,1835500,1675100,1441100,1679000,1293500,1943200,803970,3460300,1470900,NA,1445200,2091900,2025500,1075600,1362300,2848500,1059900,1743000
sp|Q08211|DHX9_HUMAN;sp|Q08211-2|DHX9_HUMAN,7803500,17100000,9676500,5538000,5481800,8343100,17380000,9544800,8231500,11523000,8850000,11446000,5328600,5003400,11916000,18100000,7498700,7024300,5496200,5835500,8629600,7718200,6106800,7537400,9050100,6621000,8030100
sp|Q08257|QOR_HUMAN;sp|Q08257-3|QOR_HUMAN;sp|Q08257-2|QOR_HUMAN,14216000,4349000,14209000,10388000,20076000,19373000,4859100,14749000,5802700,10517000,8448800,15743000,10156000,13838000,14026000,4588700,4963500,8590500,13633000,14756000,16783000,15739000,9160700,16391000,8799200,8907300,23190000
sp|Q08378|GOGA3_HUMAN;sp|Q08378-2|GOGA3_HUMAN;sp|Q08378-4|GOGA3_HUMAN,873050,1244400,1428000,NA,NA,NA,1706400,2381200,1130900,2488200,1746900,NA,1044300,NA,NA,NA,2620000,NA,NA,NA,747730,NA,NA,NA,NA,NA,NA
sp|Q08379|GOGA2_HUMAN;sp|Q08379-2|GOGA2_HUMAN,NA,975980,925980,NA,458000,638920,1331400,906490,527990,1033600,861860,1676000,NA,NA,NA,1016600,833630,400960,NA,NA,NA,699920,NA,NA,NA,NA,NA
sp|Q08380|LG3BP_HUMAN,3887300,8675400,8199900,1830700,5966700,13649000,1965400,12259000,4295400,3584900,9692900,22664000,2652000,4756600,7681800,13038000,7113600,4823400,2602900,2863800,14084000,13179000,2379600,4114800,5140900,4435000,7855400
sp|Q08431-3|MFGM_HUMAN;sp|Q08431-4|MFGM_HUMAN;sp|Q08431|MFGM_HUMAN;sp|Q08431-2|MFGM_HUMAN,587390,NA,541160,1571600,504020,NA,NA,NA,495660,NA,504400,302650,754640,502870,308340,NA,NA,NA,334010,820950,859960,NA,864300,1619800,385250,998690,NA
sp|Q08477-2|CP4F3_HUMAN;sp|Q08477|CP4F3_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q08495-3|DEMA_HUMAN;sp|Q08495-4|DEMA_HUMAN;sp|Q08495-2|DEMA_HUMAN;sp|Q08495|DEMA_HUMAN,1089000,NA,NA,894060,1410700,NA,NA,NA,NA,NA,NA,NA,NA,2193200,NA,NA,NA,1085900,2044700,1254500,NA,NA,NA,NA,NA,1169600,NA
sp|Q08722-2|CD47_HUMAN;sp|Q08722-3|CD47_HUMAN;sp|Q08722-4|CD47_HUMAN;sp|Q08722|CD47_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2242400,NA,NA,NA,NA,NA,1121600,NA,NA,NA,NA,NA,NA
sp|Q08945|SSRP1_HUMAN,1097600,8331100,2090600,NA,1018900,2672600,3356200,2515700,1181400,2203200,1458400,2946800,747180,867560,3348500,2806900,2490000,1031600,406880,968320,1339000,1373000,592710,795490,2737000,535370,1407600
sp|Q08AF3|SLFN5_HUMAN;sp|Q08AF3-2|SLFN5_HUMAN,1585700,1969200,1401500,NA,1258500,2004700,976440,2148000,2131600,2941000,2952300,2997900,2469900,1946800,1279200,2029400,2878700,1655400,1678900,NA,1130700,2159900,1729800,1863300,2259600,1547200,1452900
sp|Q08AI8|MB214_HUMAN;sp|Q08AI8-3|MB214_HUMAN;sp|Q08AI8-2|MB214_HUMAN,2759100,2405200,4048600,2308600,3847400,NA,NA,NA,1354200,2923800,2681600,1473100,1428600,3819600,1821100,1678200,NA,2343500,4881000,4188400,NA,6289100,4575100,3715600,2366600,2728600,3399300
sp|Q08AM6|VAC14_HUMAN;sp|Q08AM6-2|VAC14_HUMAN,NA,1357800,841250,NA,2393200,NA,1315600,1432500,1114900,1199100,2027200,1365000,NA,NA,NA,960130,1688000,1813600,NA,NA,1192900,NA,1437500,NA,NA,998540,1369000
sp|Q08J23|NSUN2_HUMAN;sp|Q08J23-2|NSUN2_HUMAN;sp|Q08J23-3|NSUN2_HUMAN,NA,6262300,2662000,NA,NA,1371400,3843300,1959700,965490,4512500,1111300,1719100,NA,NA,1897400,2721100,1643200,748360,NA,NA,1572100,1257500,NA,NA,1490000,NA,NA
sp|Q09028-3|RBBP4_HUMAN;sp|Q09028|RBBP4_HUMAN;sp|Q09028-2|RBBP4_HUMAN;sp|Q09028-4|RBBP4_HUMAN,2003000,5602700,3578400,1959800,1801600,2928500,2471700,3166100,2123700,3731300,2168800,2702500,2042800,1696900,2584300,3404200,2959200,1934200,1953300,1870400,1703900,2641700,2536900,2236600,3475900,2203300,2877400
sp|Q09161|NCBP1_HUMAN,NA,35706000,32295000,NA,NA,NA,33968000,NA,NA,43908000,24631000,34612000,NA,27196000,33349000,37637000,NA,26870000,32102000,30443000,NA,25656000,30854000,26709000,NA,NA,NA
sp|Q09666|AHNK_HUMAN;sp|Q09666-2|AHNK_HUMAN,27514000,14466000,23393000,56824000,52653000,36731000,11267000,25436000,44688000,25877000,30036000,13602000,72401000,38760000,12667000,1731800,72046000,38657000,29024000,16718000,28166000,38321000,69194000,47723000,29263000,49946000,37723000
sp|Q0JRZ9|FCHO2_HUMAN;sp|Q0JRZ9-3|FCHO2_HUMAN;sp|Q0JRZ9-2|FCHO2_HUMAN,1120400,1104100,NA,NA,1378800,NA,NA,805050,1116000,833980,1039100,620630,671760,1155500,1698700,507520,751980,1433400,836880,NA,1012900,1283000,1018700,1911300,NA,930160,1284300
sp|Q0VD83|APOBR_HUMAN;sp|Q0VD83-3|APOBR_HUMAN;sp|Q0VD83-2|APOBR_HUMAN,NA,1416500,NA,NA,871760,NA,NA,1230000,931150,NA,666120,NA,992760,NA,NA,NA,1211800,939190,2023500,NA,502540,NA,NA,432260,1197600,NA,1818400
sp|Q0VF96|CGNL1_HUMAN;sp|Q0VF96-2|CGNL1_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q0ZGT2-4|NEXN_HUMAN;sp|Q0ZGT2-2|NEXN_HUMAN;sp|Q0ZGT2|NEXN_HUMAN;sp|Q0ZGT2-3|NEXN_HUMAN,NA,NA,NA,1640900,1217100,901900,NA,NA,NA,1197700,1834100,NA,2508900,NA,NA,NA,NA,1038200,1298400,NA,NA,NA,2395700,2201700,NA,1581200,NA
sp|Q10471|GALT2_HUMAN;sp|Q10471-2|GALT2_HUMAN,NA,NA,NA,NA,NA,NA,630940,NA,NA,628440,926660,2270700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q10472|GALT1_HUMAN,NA,861350,1002400,NA,NA,NA,NA,NA,NA,2286200,NA,NA,NA,NA,NA,747300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
