Protein.IDs,LFQ.intensity.01.51.48.N,LFQ.intensity.02.2870.17.T,LFQ.intensity.03.613.19.T,LFQ.intensity.04.91.19.N,LFQ.intensity.05.1200.18.N,LFQ.intensity.06.34.20.T,LFQ.intensity.07.306.19.T,LFQ.intensity.08.2283.18.T,LFQ.intensity.10.885.17.T,LFQ.intensity.11.51.18.T,LFQ.intensity.12.1315.18.T,LFQ.intensity.13.1219.17.T,LFQ.intensity.14.1301.19.N,LFQ.intensity.15.1219.17.N,LFQ.intensity.16.2286.19.T,LFQ.intensity.17.2097.17.T,LFQ.intensity.18.1301.19.T,LFQ.intensity.19.2870.17.N,LFQ.intensity.20.2097.17.N,LFQ.intensity.21.613.19.N,LFQ.intensity.22.1200.18.T,LFQ.intensity.23.1512.18.T,LFQ.intensity.24.885.17.N,LFQ.intensity.25.2286.19.N,LFQ.intensity.26.91.19.T,LFQ.intensity.27.1315.18.N,LFQ.intensity.28.2283.18.N
sp|O00499-9|BIN1_HUMAN;sp|O00499-10|BIN1_HUMAN;sp|O00499-7|BIN1_HUMAN;sp|O00499-8|BIN1_HUMAN;sp|O00499-4|BIN1_HUMAN;sp|O00499-6|BIN1_HUMAN;sp|O00499-11|BIN1_HUMAN;sp|O00499-3|BIN1_HUMAN;sp|O00499-2|BIN1_HUMAN;sp|O00499-5|BIN1_HUMAN;sp|O00499|BIN1_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|O00505|IMA4_HUMAN;sp|O00629|IMA3_HUMAN,NA,471980,447830,NA,NA,NA,1173600,NA,NA,314480,910160,NA,NA,NA,NA,1573100,NA,NA,NA,NA,306880,NA,NA,NA,NA,NA,NA
sp|O00515|LAD1_HUMAN,715510,700890,2449100,NA,NA,2489700,1013900,556290,1009900,893510,763920,1074700,NA,NA,NA,NA,1264400,NA,NA,NA,NA,1646700,NA,NA,2925700,NA,NA
sp|O00534|VMA5A_HUMAN;sp|O00534-4|VMA5A_HUMAN;sp|O00534-3|VMA5A_HUMAN;sp|O00534-2|VMA5A_HUMAN,754240,723120,791640,1366300,1011300,NA,NA,NA,408060,713800,509970,665830,941000,897350,1593900,385620,660370,1092300,1015900,NA,2148100,684060,704520,1483300,343670,1019200,NA
sp|O00541-2|PESC_HUMAN;sp|O00541|PESC_HUMAN,898900,2355600,1872600,NA,304130,652380,4565200,1626700,1168800,2035100,627380,890280,NA,NA,812540,3146200,2822900,610350,NA,NA,NA,1120300,NA,NA,1199700,NA,NA
sp|O00560|SDCB1_HUMAN;sp|O00560-2|SDCB1_HUMAN;sp|O00560-3|SDCB1_HUMAN,NA,NA,NA,NA,NA,NA,312160,NA,NA,NA,NA,676190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|O00567|NOP56_HUMAN,2132900,3314000,2376100,1515600,1836900,3114000,5772300,2775100,4274300,4228500,2204100,2601000,1557200,1871600,8163100,2683800,3221500,2109800,1463800,1231200,1753900,3213500,1375400,2427300,2895000,1571000,1439700
sp|O00571|DDX3X_HUMAN;sp|O00571-2|DDX3X_HUMAN,5446200,10205000,4934600,3763200,4514500,4839700,12727000,6730500,6285000,6771200,6472100,9273100,4696500,3963200,4118000,10837000,7094700,4732800,3723700,3384700,3518500,5550800,2980500,3163400,5557200,3496600,4308700
sp|O00584|RNT2_HUMAN,NA,1112300,NA,NA,NA,1002700,571440,687580,666080,1031400,1119400,1554200,NA,NA,1366100,1441400,NA,1364300,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|O00625|PIR_HUMAN,NA,1086600,NA,NA,NA,886040,1269500,NA,NA,NA,NA,NA,790510,NA,2157000,NA,716820,NA,NA,682530,NA,NA,NA,NA,1033100,NA,NA
sp|O00743-2|PPP6_HUMAN;sp|O00743|PPP6_HUMAN;sp|O00743-3|PPP6_HUMAN,NA,554770,509520,NA,NA,NA,1264800,312440,305290,551660,774810,475640,NA,NA,NA,NA,NA,234620,NA,NA,476210,NA,NA,NA,NA,326020,NA
sp|O00754-2|MA2B1_HUMAN;sp|O00754|MA2B1_HUMAN,NA,2356000,2450500,NA,NA,2729500,NA,3024900,1911300,4027300,2807900,1201000,NA,1803900,3930300,1124200,NA,2837400,1951700,2560000,2165400,3938400,NA,2106700,NA,1188600,2213000
sp|O00764|PDXK_HUMAN;sp|O00764-2|PDXK_HUMAN;sp|O00764-3|PDXK_HUMAN,4285900,3020700,7789200,4478900,4973500,2814600,3498500,7375000,6466100,8970000,9265100,4566300,2385300,5846000,785600,2621500,5783800,7577900,5197200,4770900,7021400,6912500,2486700,4018800,5029200,3116600,2607900
sp|O14497|ARI1A_HUMAN;sp|O14497-3|ARI1A_HUMAN;sp|O14497-2|ARI1A_HUMAN,NA,1360000,511470,NA,356690,NA,513770,636890,NA,436940,311840,617590,NA,383280,649260,1469300,780180,309500,382140,NA,222110,477080,NA,1204200,580570,253960,NA
sp|O14498|ISLR_HUMAN,NA,381700,NA,NA,NA,742620,NA,NA,NA,NA,3395400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,972590,NA,NA,1458200,NA,NA
sp|O14558|HSPB6_HUMAN,4296600,485260,1014200,13529000,5067000,NA,647900,761950,1824400,1125300,NA,762750,5782900,2583300,1028300,NA,NA,3096600,4031700,2661900,NA,NA,5775700,5272800,NA,6643800,2851000
sp|O14562|UBFD1_HUMAN,NA,701730,NA,NA,NA,NA,1866000,NA,NA,NA,677400,658390,NA,NA,NA,777930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|O14578-3|CTRO_HUMAN;sp|O14578|CTRO_HUMAN;sp|O14578-4|CTRO_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,4224500,NA,1133200,NA,NA,4335500,883840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|O14579|COPE_HUMAN;sp|O14579-3|COPE_HUMAN;sp|O14579-2|COPE_HUMAN,1180800,2023400,2505900,NA,2351400,1573800,2909100,2011400,2288200,2025600,2344600,2601800,805010,1833300,2382100,2344000,2191300,1465600,1133500,1368400,3202200,1472600,1183100,1593400,1777200,1289700,NA
